lat,lon,density_score,density_score_normalized,competitor_count,competitor_score,opportunity_score
21.080000000000005,78.98000000000002,0.6868706181891943,3.816606782013856,0,100.0,42.28996406920832
21.080000000000005,78.99000000000002,0.7461127987256577,5.0710806851348105,0,100.0,43.04264841108088
21.080000000000005,79.00000000000003,0.8161256579778826,6.553627478981094,0,100.0,43.93217648738866
21.080000000000005,79.01000000000003,0.8990472039426325,8.309520231024505,0,100.0,44.9857121386147
21.080000000000005,79.02000000000004,0.9965387156549864,10.373937106154264,0,100.0,46.224362263692555
21.080000000000005,79.03000000000004,1.1084747126059529,12.744221010683829,0,100.0,47.6465326064103
21.080000000000005,79.04000000000005,1.2324158935901433,15.368718888019048,0,100.0,49.22123133281143
21.080000000000005,79.05000000000005,1.3671810911578253,18.222419104092975,0,100.0,50.933451462455785
21.080000000000005,79.06000000000006,1.5045679227033464,21.13163333702033,0,100.0,52.6789800022122
21.080000000000005,79.07000000000006,1.5377971365065044,21.835273567001924,0,100.0,53.101164140201156
21.080000000000005,79.08000000000007,1.3974773428013736,18.86395283403096,0,100.0,51.318371700418574
21.080000000000005,79.09000000000007,1.2425176300036924,15.58262669141606,0,100.0,49.34957601484963
21.080000000000005,79.10000000000008,1.1189082966363473,12.96515580348899,0,100.0,47.779093482093394
21.080000000000005,79.11000000000008,1.0194249885898083,10.858561944005505,0,100.0,46.515137166403306
21.080000000000005,79.12000000000009,0.9357395394354356,9.086493274613764,0,100.0,45.451895964768255
21.080000000000005,79.1300000000001,0.8627789426972521,7.541527108018185,0,100.0,44.52491626481091
21.080000000000005,79.1400000000001,0.7977995414037989,6.165565547776684,0,100.0,43.699339328666014
21.080000000000005,79.1500000000001,0.7394294191491891,4.929557783928111,0,100.0,42.957734670356864
21.090000000000007,78.95,0.5695731639457409,1.3327921432132452,0,100.0,40.79967528592795
21.090000000000007,78.96000000000001,0.6109714738948024,2.209415842647225,0,100.0,41.32564950558834
21.090000000000007,78.97000000000001,0.6595108070003683,3.2372532062356387,0,100.0,41.942351923741384
21.090000000000007,78.98000000000002,0.7171472729963092,4.457725542082958,2,77.77777777777777,33.78574643636089
21.090000000000007,78.99000000000002,0.7865946714959099,5.92829850662413,0,100.0,43.55697910397448
21.090000000000007,79.00000000000003,0.8716843060389073,7.730101292978181,0,100.0,44.63806077578691
21.090000000000007,79.01000000000003,0.9777739335819748,9.976586279510464,0,100.0,45.985951767706275
21.090000000000007,79.02000000000004,1.11162843240823,12.811002131059327,0,100.0,47.68660127863559
21.090000000000007,79.03000000000004,1.2785007992804065,16.34458289222534,0,100.0,49.8067497353352
21.090000000000007,79.04000000000005,1.4754181020305432,20.5143756840516,0,100.0,52.30862541043096
21.090000000000007,79.05000000000005,1.7114487025650036,25.512406243142884,0,100.0,55.30744374588573
21.090000000000007,79.06000000000006,2.1637218243520584,35.089447858207905,0,100.0,61.05366871492474
21.090000000000007,79.07000000000006,2.7590694035121106,47.69614117333391,1,88.88888888888889,64.17324025955591
21.090000000000007,79.08000000000007,1.7823362723312262,27.01347533820528,0,100.0,56.208085202923165
21.090000000000007,79.09000000000007,1.4531356762585206,20.04253752117325,0,100.0,52.02552251270395
21.090000000000007,79.10000000000008,1.265493374036977,16.06914611108533,0,100.0,49.6414876666512
21.090000000000007,79.11000000000008,1.1326775430241585,13.256724413940796,0,100.0,47.95403464836448
21.090000000000007,79.12000000000009,1.0271010217112682,11.021104631380704,0,100.0,46.61266277882842
21.090000000000007,79.1300000000001,0.9373356191793056,9.120290821696836,0,100.0,45.4721744930181
21.090000000000007,79.1400000000001,0.8583925091406855,7.448642842539471,0,100.0,44.469185705523685
21.090000000000007,79.1500000000001,0.788308710835874,5.964593889431387,0,100.0,43.57875633365883
21.10000000000001,78.95,0.5810024122830143,1.574810476123413,0,100.0,40.944886285674045
21.10000000000001,78.96000000000001,0.6258151714888235,2.5237363333667977,0,100.0,41.51424180002008
21.10000000000001,78.97000000000001,0.6789350031643187,3.6485673569998887,0,100.0,42.18914041419993
21.10000000000001,78.98000000000002,0.7429597460004808,5.004313690350337,2,77.77777777777777,34.11369932532131
21.10000000000001,78.99000000000002,0.8217608484005738,6.672954608070008,0,100.0,44.003772764842005
21.10000000000001,79.00000000000003,0.9214447033261616,8.783795117893517,0,100.0,45.27027707073611
21.10000000000001,79.01000000000003,1.052321760466519,11.555162599865165,0,100.0,46.9330975599191
21.10000000000001,79.02000000000004,1.2329338645931511,15.37968710525823,0,100.0,49.22781226315494
21.10000000000001,79.03000000000004,1.4943780914033686,20.91586009357668,0,100.0,52.549516056146004
21.10000000000001,79.04000000000005,1.8405705298650064,28.24660611904796,0,100.0,56.94796367142878
21.10000000000001,79.05000000000005,2.1673827322757133,35.16696886453087,1,88.88888888888889,56.65573687427408
21.10000000000001,79.06000000000006,2.664670564936021,45.69721273406514,4,55.55555555555556,49.64054986266131
21.10000000000001,79.07000000000006,3.337311618239402,59.94062241101852,4,55.55555555555556,58.186595668833334
21.10000000000001,79.08000000000007,2.0861025864834133,33.445833335504425,0,100.0,60.067500001302655
21.10000000000001,79.09000000000007,1.6474397424522926,24.156994114484263,1,88.88888888888889,50.04975202424612
21.10000000000001,79.10000000000008,1.4144307583578972,19.22294734084749,2,77.77777777777777,42.64487951561961
21.10000000000001,79.11000000000008,1.2541493138789888,15.828931667680918,1,88.88888888888889,45.05291455616411
21.10000000000001,79.12000000000009,1.128012912196242,13.157949223893343,0,100.0,47.89476953433601
21.10000000000001,79.1300000000001,1.0200820055776458,10.872474508628985,0,100.0,46.52348470517739
21.10000000000001,79.1400000000001,0.9243181457908144,8.844641267569052,1,88.88888888888889,40.86234031609699
21.10000000000001,79.1500000000001,0.8396795518187521,7.052389423134477,1,88.88888888888889,39.78698920943624
21.11000000000001,78.95,0.5893859610967218,1.752335055858684,0,100.0,41.05140103351521
21.11000000000001,78.96000000000001,0.6367658673339599,2.755621149798958,0,100.0,41.653372689879376
21.11000000000001,78.97000000000001,0.6933147855071995,3.9530642799414815,0,100.0,42.371838567964886
21.11000000000001,78.98000000000002,0.7620961174654385,5.409533052396646,0,100.0,43.24571983143799
21.11000000000001,78.99000000000002,0.8478314650501889,7.225009038360314,0,100.0,44.335005423016185
21.11000000000001,79.00000000000003,0.9583782869024912,9.56587667406995,0,100.0,45.73952600444197
21.11000000000001,79.01000000000003,1.108404421078636,12.742732562996204,0,100.0,47.64563953779772
21.11000000000001,79.02000000000004,1.3310084111380636,17.456449946985302,0,100.0,50.47386996819118
21.11000000000001,79.03000000000004,1.733017505674722,25.96913319643323,1,88.88888888888889,51.137035473415494
21.11000000000001,79.04000000000005,3.024054675869905,53.30729704021916,2,77.77777777777777,63.095489335242604
21.11000000000001,79.05000000000005,3.051220406275065,53.882540887489725,6,33.33333333333334,45.66285786582717
21.11000000000001,79.06000000000006,3.45828488613474,62.50227369015323,6,33.33333333333334,50.83469754742527
21.11000000000001,79.07000000000006,2.824470403508094,49.081030233629,4,55.55555555555556,51.67084036239962
21.11000000000001,79.08000000000007,2.180922594326035,35.45368018136925,0,100.0,61.272208108821545
21.11000000000001,79.09000000000007,1.8092251241211093,27.582856183910888,1,88.88888888888889,52.10526926590209
21.11000000000001,79.10000000000008,1.5664840720301556,22.44272946496273,5,44.44444444444444,31.243415456755415
21.11000000000001,79.11000000000008,1.3892220719263173,18.68914458453416,6,33.33333333333334,24.546820084053834
21.11000000000001,79.12000000000009,1.2467611233117435,15.672484147114238,2,77.77777777777777,40.51460159937965
21.11000000000001,79.1300000000001,1.1179299082690717,12.944438087450347,0,100.0,47.766662852470205
21.11000000000001,79.1400000000001,0.9983284022093027,10.41183434519621,1,88.88888888888889,41.80265616267328
21.11000000000001,79.1500000000001,0.8933465080472105,8.188806000628581,1,88.88888888888889,40.468839155932706
21.12000000000001,78.95,0.5942380091204549,1.85507887060933,0,100.0,41.113047322365595
21.12000000000001,78.96000000000001,0.6431336497321342,2.8904611703202456,0,100.0,41.73427670219215
21.12000000000001,78.97000000000001,0.7016170679613569,4.12886801607623,0,100.0,42.47732080964574
21.12000000000001,78.98000000000002,0.7729093448593867,5.638506926271384,0,100.0,43.38310415576283
21.12000000000001,78.99000000000002,0.8619431675859409,7.523829277578393,0,100.0,44.514297566547036
21.12000000000001,79.00000000000003,0.9768001965084504,9.955967056244605,5,44.44444444444444,23.75135801152454
21.12000000000001,79.01000000000003,1.1320630381448211,13.24371205809082,5,44.44444444444444,25.72400501263227
21.12000000000001,79.02000000000004,1.3582072736534998,18.032395378284686,0,100.0,50.81943722697081
21.12000000000001,79.03000000000004,1.7345661131448429,26.001925501507976,1,88.88888888888889,51.15671085646034
21.12000000000001,79.04000000000005,2.434115670340797,40.81513216431816,2,77.77777777777777,55.60019040970201
21.12000000000001,79.05000000000005,2.819452415912435,48.97477259037658,9,0.0,29.384863554225948
21.12000000000001,79.06000000000006,3.023838031214323,53.30270951382805,8,11.111111111111114,36.426070152741275
21.12000000000001,79.07000000000006,2.6349424930672147,45.06771040967706,2,77.77777777777777,58.15173735691735
